Id,name,image,length,width,height,price,detail
0,PAX,PAX_image1.png,250.0,60.0,2364.0,24800.0,"可搭配KOMPLEMENT內部配件，整齊收納物品
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 鉸鏈附緩衝器，可和緩、安靜地關上櫃門
 可調式櫃腳，即使在不平整的地面，亦能穩固放置
 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊"
1,PAX,PAX_image2.png,1500.0,600.0,2364.0,20400.0," 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊
"
2,PAX,PAX_image3.png,1500.0,600.0,2364.0,18600.0," 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊
"
3,PAX,PAX_image4.png,200.0,60.0,2364.0,29300.0,"可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 可搭配KOMPLEMENT內部配件，整齊收納物品
 可調式櫃腳，即使在不平整的地面，亦能穩固放置
 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊"
4,PAX,PAX_image5.png,1500.0,600.0,2364.0,22900.0," 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊
"
5,PAX,PAX_image6.png,300.0,60.0,2364.0,29700.0,"可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 鉸鏈附緩衝器，可和緩、安靜地關上櫃門
 可搭配KOMPLEMENT內部配件，整齊收納物品
 可調式櫃腳，即使在不平整的地面，亦能穩固放置
 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊"
6,PAX,PAX_image7.png,3000.0,600.0,2012.0,21500.0,"可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 鉸鏈附緩衝器，可和緩、安靜地關上櫃門
 可搭配KOMPLEMENT內部配件，整齊收納物品
 可調式櫃腳，即使在不平整的地面，亦能穩固放置"
7,PAX,PAX_image8.png,1000.0,600.0,2364.0,9500.0,"可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 鉸鏈附緩衝器，可和緩、安靜地關上櫃門
 可搭配KOMPLEMENT內部配件，整齊收納物品
 可調式櫃腳，即使在不平整的地面，亦能穩固放置"
8,PAX,PAX_image9.png,2500.0,600.0,2012.0,26200.0," 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊
"
9,PAX,PAX_image10.png,1000.0,600.0,2012.0,11900.0,"可使用PAX系統衣櫃規劃軟體，依個人需求和喜好調整現有的PAX/KOMPLEMENT衣櫃組合
 提供10年品質保證；欲知更多細則，請參閱品質保證書
 鉸鏈附緩衝器，可和緩、安靜地關上櫃門
 可搭配KOMPLEMENT內部配件，整齊收納物品
 可調式櫃腳，即使在不平整的地面，亦能穩固放置
 你可以用PAX系統衣櫃規劃設計軟體，輕鬆搭配適合的燈具；挑選燈具後，規劃設計軟體會提供相關配件資訊"
